rho2,dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
1,traffic,main (swap dynamic),7698,0.4653182,0.55617785,0.4203689269940244,6.381997018548813e-72
1,traffic,control (swap invariant),7698,0.47359216,0.54794425,0.4597297999480385,7.987362224603513e-33
1,solar,main (swap dynamic),6841,0.6976495,0.84429777,0.4592895775471422,1.7514438429405254e-18
1,solar,control (swap invariant),6841,0.707587,0.84159017,0.45344247916971203,1.3661661735765786e-17
1,PEMS08,main (swap dynamic),3614,0.46547762,0.5137564,0.45185390149418925,1.3774454704507474e-06
1,PEMS08,control (swap invariant),3614,0.46956348,0.49552232,0.5033204205866076,0.21248496657330862
1,AQWan,main (swap dynamic),296,0.54562324,0.48501974,0.5675675675675675,0.04786942315643842
1,AQWan,control (swap invariant),296,0.5280138,0.4855853,0.5304054054054054,0.34423098767530436
1,Wind,main (swap dynamic),408,0.6260323,0.55994666,0.5588235294117647,0.050610275580598024
1,Wind,control (swap invariant),408,0.5937727,0.5416712,0.5441176470588235,0.10825014927646176
1,ZafNoo,main (swap dynamic),81,0.50843924,0.59627026,0.49382716049382713,0.35487305663489943
1,ZafNoo,control (swap invariant),81,0.49287844,0.6147458,0.41975308641975306,0.08699575918941133
1,CzeLan,main (swap dynamic),242,0.49644813,0.48474637,0.5165289256198347,0.9769476788344905
1,CzeLan,control (swap invariant),242,0.50123626,0.4481551,0.5082644628099173,0.34450260765482243
1,Combined,main (swap dynamic),22714,0.5490978,0.631479,0.45412520912212734,6.550660677024198e-57
1,Combined,control (swap invariant),22714,0.5568806,0.6247865,0.47371665052390594,1.7523788553965484e-31
10,ETTh1,main (swap dynamic),34,0.43558946,0.3337538,0.5294117647058824,0.5206828033551574
10,ETTh1,control (swap invariant),34,0.48375815,0.2718767,0.6764705882352942,0.006501192576251924
10,ETTm1,main (swap dynamic),496,0.38469696,0.44703546,0.4375,0.0016205221755849488
10,ETTm1,control (swap invariant),496,0.40149468,0.42655152,0.43951612903225806,0.03221388672070007
10,electricity,main (swap dynamic),1322,0.38674086,0.40030143,0.5007564296520424,0.5321017985609618
